stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
DKI4,68.0,50.0,47.0,13.0,46.0,34.0,68.0,PM25,SEDANG
DKI4,58.0,36.0,47.0,9.0,36.0,17.0,58.0,PM25,SEDANG
DKI3,82.0,53.0,47.0,11.0,41.0,14.0,82.0,PM25,SEDANG
DKI4,99.0,60.0,50.0,13.0,45.0,35.0,99.0,PM25,SEDANG
DKI4,106.0,63.0,43.0,18.0,56.0,35.0,106.0,PM25,TIDAK SEHAT
DKI2,45.0,32.0,41.0,7.0,42.0,12.0,45.0,PM25,BAIK
DKI4,58.0,37.0,43.0,8.0,41.0,17.0,58.0,PM25,SEDANG
DKI3,76.0,52.0,41.0,19.0,45.0,44.0,76.0,PM25,SEDANG
DKI4,45.0,29.0,42.0,7.0,41.0,12.0,45.0,PM25,BAIK
DKI2,55.0,25.0,41.0,7.0,41.0,9.0,55.0,PM25,SEDANG
